text;to;from;moment
Depuis La chaize-le-vicomte à La roche-sur-foron;La roche-sur-foron;La chaize-le-vicomte;
Itiniréraire jusqu'a Giromagny depuis Quimper;Giromagny;Quimper;
Comment aller de Boigneville à Longjumeau mardi;Longjumeau;Boigneville;mardi
Je suis actuellement à Villers-sur-mer et j’aimerais partir à Ferrières-en-bray;Ferrières-en-bray;Villers-sur-mer;
Donne moi l'itinéraire pour aller à Fontenay-le-fleury en partant de Lizy-sur-ourcq;Fontenay-le-fleury;Lizy-sur-ourcq;
Comment aller de Viviers-du-lac à Aytré;Aytré;Viviers-du-lac;
Je pars de Caen pour aller à Villeneuve-la-comtesse;Villeneuve-la-comtesse;Caen;
le départ et l'arrivée de mon voyage sont Sathonay-camp et Quillan;Quillan;Sathonay-camp;
Quel trajet pour Éveux Grandvilliers;Grandvilliers;Éveux;
train Wizernes Sillé-le-guillaume;Sillé-le-guillaume;Wizernes;
Le train Concarneau Clamecy;Clamecy;Concarneau;
Je quitte Trémentines pour Joue-les-tours;Joue-les-tours;Trémentines;
Itiniréraire jusqu'a Saint-pierre-de-chignac depuis Poix-de-picardie;Saint-pierre-de-chignac;Poix-de-picardie;
J'irai bien à la gare de Saint-samson-sur-rance depuis la gare de Villereversure;Saint-samson-sur-rance;Villereversure;
je vais à Us depuis Égletons;Us;Égletons;
Je quitte Thuès-entre-valls pour Sevran;Sevran;Thuès-entre-valls;
Je cherche un trajet de Fronville à Le theil-de-bretagne demain soir;Le theil-de-bretagne;Fronville;demain soir
Je voudrais aller de Luxé à Dunkerque;Dunkerque;Luxé;
Je quitte Saint-laurent-en-grandvaux pour Somain;Somain;Saint-laurent-en-grandvaux;
Quel trajet pour Bourg-bruche Carhaix-plouguer;Carhaix-plouguer;Bourg-bruche;
Je prends le train Vignory Boisville-la-saint-père;Boisville-la-saint-père;Vignory;
La ligne Bergerac Vern-sur-seiche;Vern-sur-seiche;Bergerac;
je veux partir de Saint-masmes pour Bétheniville;Bétheniville;Saint-masmes;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Barsac et gare de Vif;Vif;Barsac;
Itiniréraire jusqu'a Monéteau depuis Mouans-sartoux;Monéteau;Mouans-sartoux;
le départ et l'arrivée de mon voyage sont Gironde-sur-dropt et Vivonne;Vivonne;Gironde-sur-dropt;
trajet Relecq-kerhuon (le ) Landaul;Landaul;Relecq-kerhuon (le );
Ma provenance et ma destination sont Béard et Pessac;Pessac;Béard;
Le train Oberhoffen-sur-moder Sainte-eanne;Sainte-eanne;Oberhoffen-sur-moder;
Ma destination et ma provenance sont Pierre-buffière et Le cheylas;Pierre-buffière;Le cheylas;
ils veulent aller de Brassac-les-mines jusqu'à Loon-plage;Loon-plage;Brassac-les-mines;
Comment aller de Veuves à Champigneulles;Champigneulles;Veuves;
Je veux aller à Hennebont depuis Drancy;Hennebont;Drancy;
Emmène moi de Saint-prest à Blois;Blois;Saint-prest;
Je veux aller de Chauny à Batilly;Batilly;Chauny;
Le train Lus-la-croix-haute Thiaville-sur-meurthe;Thiaville-sur-meurthe;Lus-la-croix-haute;
train Baillargues Roncq;Roncq;Baillargues;
Je veux aller à Meyrargues depuis Laguépie;Meyrargues;Laguépie;
Allons à L'hôpital-du-grosbois depuis Mothern;L'hôpital-du-grosbois;Mothern;
train Charbonnières-les-bains Liverdun;Liverdun;Charbonnières-les-bains;
Je suis actuellement à Saint-rambert-d'albon et j’aimerais partir à Notre-dame-de-bondeville samedi après-midi;Notre-dame-de-bondeville;Saint-rambert-d'albon;samedi après-midi
Indique moi le chemin pour Coussac-bonneval depuis Saint-georges-de-reneins;Coussac-bonneval;Saint-georges-de-reneins;
La ligne Fuveau Rampan;Rampan;Fuveau;
je vais à Arbois depuis Épehy;Arbois;Épehy;
mercredi, je voudrais aller de Saint-georges-de-luzençon à Quiberon;Quiberon;Saint-georges-de-luzençon;mercredi
Je cherche le train le plus rapide pour faire Saint-mathurin-sur-loire Epinal;Epinal;Saint-mathurin-sur-loire;
trajet Verrey-sous-salmaise Cahors;Cahors;Verrey-sous-salmaise;
La ligne Saint-andré-de-corcy Chabris;Chabris;Saint-andré-de-corcy;
Castres depuis Labarthe-inard;Castres;Labarthe-inard;
Je pars de Villefranche-de-lauragais pour aller à Saales;Saales;Villefranche-de-lauragais;
Je veux le trajet de Billy-montigny à Garges-les-gonesse;Garges-les-gonesse;Billy-montigny;
Je suis à Avion et je souhaite me rendre à Sisteron;Sisteron;Avion;
trajet Avrechy Saint-gaudens;Saint-gaudens;Avrechy;
Emmène moi de La grande-paroisse à Bazeilles;Bazeilles;La grande-paroisse;
Je cherche le train le plus rapide pour faire Bons-en-chablais Saint-agnan lundi;Saint-agnan;Bons-en-chablais;lundi
Emmène moi de Irigny à Aubevoye;Aubevoye;Irigny;
Emmène moi de Villers-sur-mer à Mundolsheim;Mundolsheim;Villers-sur-mer;
Je prends le train Nouan-le-fuzelier Saint-juéry;Saint-juéry;Nouan-le-fuzelier;
Je souhaiterai avoir des informations sur le train Villefranque Nimes;Nimes;Villefranque;
je veux partir de Nantouillet pour Bailleul-sur-thérain;Bailleul-sur-thérain;Nantouillet;
Je pars de Brebières pour aller à Salses-le-château;Salses-le-château;Brebières;
dans deux heures je partirais de Maroeuil pour aller à Barentin;Barentin;Maroeuil;dans deux heures
Je veux aller de Ciry-salsogne à Crêches-sur-saône;Crêches-sur-saône;Ciry-salsogne;
itinéraire de voyage de Malesherbes vers Sotteville-les-rouen;Sotteville-les-rouen;Malesherbes;
train Montry Vanves;Vanves;Montry;
Je veux le trajet de Poigny à Rai;Rai;Poigny;
Je suis à Gières et je souhaite me rendre à Coutras;Coutras;Gières;
je vais à Cluses depuis Saint-michel-sur-orge;Cluses;Saint-michel-sur-orge;
la semaine prochaine, je voudrais aller de Laifour à La perche;La perche;Laifour;la semaine prochaine
Quel trajet pour Diemeringen Gravelines;Gravelines;Diemeringen;
La ligne Ingrandes Martigné-ferchaud;Martigné-ferchaud;Ingrandes;
Le train Cransac Peyrilhac;Peyrilhac;Cransac;
Je suis à Lestrem et je souhaite me rendre à Nogent-le-rotrou;Nogent-le-rotrou;Lestrem;
La ligne Etaples Saint-martin-du-mont;Saint-martin-du-mont;Etaples;
Je cherche un train Chartres La mothe-achard;La mothe-achard;Chartres;
Je pars de Bornel pour aller à Locarn;Locarn;Bornel;
Je suis à Bollene et je veux aller à Saint-méloir-des-ondes;Saint-méloir-des-ondes;Bollene;
La ligne Sauto Darcey;Darcey;Sauto;
Comment aller à Trémentines depuis Feyzin;Trémentines;Feyzin;
Quel trajet pour Saint-hilaire-les-places Lons-le-saunier;Lons-le-saunier;Saint-hilaire-les-places;
je partirais de Corcy pour aller à Sainte-colombe-sur-seine;Sainte-colombe-sur-seine;Corcy;
Comment aller à Montrond-les-bains depuis La bastide-puylaurent;Montrond-les-bains;La bastide-puylaurent;
Je pars demain après-midi de Cousance pour aller à Milly-sur-thérain;Milly-sur-thérain;Cousance;demain après-midi
Je pars de Noyelles-sur-mer pour aller à Grande-synthe;Grande-synthe;Noyelles-sur-mer;
La ligne Saint-julien-puy-lavèze Dannemarie-sur-crète;Dannemarie-sur-crète;Saint-julien-puy-lavèze;
Je veux le trajet de Loures-barousse à Carpentras;Carpentras;Loures-barousse;
Je cherche un train Montry Scherwiller;Scherwiller;Montry;
Itiniréraire jusqu'a Bussac-forêt depuis Valenciennes;Bussac-forêt;Valenciennes;
vendredi je partirais de Trignac pour aller à Saint-hilaire-sur-helpe;Saint-hilaire-sur-helpe;Trignac;vendredi
Je partirais de Le fauga pour aller à Muhlbach-sur-bruche;Muhlbach-sur-bruche;Le fauga;
L'arrivée et le départ de mon voyage sont Anglefort et Longué-jumelles;Anglefort;Longué-jumelles;
Je cherche un trajet de Nuits-saint-georges à Montaigu la semaine prochaine;Montaigu;Nuits-saint-georges;la semaine prochaine
Je pars de Chauffailles pour aller à Castelsarrasin mardi après-midi;Castelsarrasin;Chauffailles;mardi après-midi
Moyeuvre-grande depuis La jarrie;Moyeuvre-grande;La jarrie;
Je cherche un train Viroflay Sarreguemines;Sarreguemines;Viroflay;
J'irai bien à la gare de Saint-saturnin-lès-avignon depuis la gare de Buno-bonnevaux;Saint-saturnin-lès-avignon;Buno-bonnevaux;
Indique moi le chemin pour La réole depuis Montauban-de-bretagne;La réole;Montauban-de-bretagne;
Allons à Saint-pierre-sur-dives depuis Lezoux;Saint-pierre-sur-dives;Lezoux;
Je pars de Ressons-le-long pour aller à Ploemel;Ploemel;Ressons-le-long;
Trouve un train partant de Portes-lès-valence et allant à Seugy;Seugy;Portes-lès-valence;
de Saint-chamas à Courcelles-sur-nied;Courcelles-sur-nied;Saint-chamas;
Je suis actuellement à Saint-chamond et j’aimerais partir à Brioude;Brioude;Saint-chamond;
Je suis actuellement à Longroy et j'aimerais partir à Saint-brice-courcelles;Saint-brice-courcelles;Longroy;
Itiniréraire jusqu'a Choisy-le-roi depuis Saint-paul-de-fenouillet;Choisy-le-roi;Saint-paul-de-fenouillet;
Je quitte Marcq-en-baroeul pour Ribécourt-dreslincourt;Ribécourt-dreslincourt;Marcq-en-baroeul;
Je veux aller de Saint-maur à Saint-malo;Saint-malo;Saint-maur;
Je prends le train Saint-pierre-le-moûtier Nonancourt la semaine prochaine;Nonancourt;Saint-pierre-le-moûtier;la semaine prochaine
Depuis Parent à Avrigny;Avrigny;Parent;
Je cherche un trajet de Istres à Drulingen samedi après-midi;Drulingen;Istres;samedi après-midi
Je suis actuellement à Oiry et j’aimerais partir à Sarreguemines;Sarreguemines;Oiry;
le départ et l'arrivée de mon voyage sont Merignac et Vitry-la-ville;Vitry-la-ville;Merignac;
itinéraire de voyage de Ruminghem vers Corbenay;Corbenay;Ruminghem;
ils veulent aller de Autrey-lès-gray jusqu'à Pléchâtel;Pléchâtel;Autrey-lès-gray;
Je partirais de Saint-yzan-de-soudiac pour aller à Morvillars;Morvillars;Saint-yzan-de-soudiac;
Je prends le train Montoire-sur-le-loir Ballan-miré;Ballan-miré;Montoire-sur-le-loir;
Je suis actuellement à Arc-lès-gray et j'aimerais partir à Civrieux-d'azergues;Civrieux-d'azergues;Arc-lès-gray;
ils veulent aller de Champagnole jusqu'à Château-renault;Château-renault;Champagnole;
train Bretigny Petit-quevilly (le );Petit-quevilly (le );Bretigny;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Puteaux et gare de Busigny;Busigny;Puteaux;
trajet Bruyères Niederbronn-les-bains;Niederbronn-les-bains;Bruyères;
Je souhaiterai avoir des informations sur le train Coutances Murat qui part dans une heure;Murat;Coutances;dans une heure
Hundling Avignonet-lauragais;Avignonet-lauragais;Hundling;
Je veux aller de Avricourt à Conlie dimanche matin;Conlie;Avricourt;dimanche matin
Je souhaiterai avoir des informations sur le train La ville-dieu-du-temple Châtenois qui part vendredi;Châtenois;La ville-dieu-du-temple;vendredi
Depuis Cluses à Saint-paterne-racan;Saint-paterne-racan;Cluses;
je veux partir de Cessieu pour Tillières-sur-avre;Tillières-sur-avre;Cessieu;
